language,extension,include_final
GraphQL,graphqls,TRUE
Groovy Server Pages,gsp,TRUE
Groovy Server Pages,,TRUE
E-mail,eml,FALSE
E-mail,mbox,FALSE
E-mail,,FALSE
E-mail,url,FALSE
E-mail,txt,FALSE
ApacheConf,htaccess,TRUE
ApacheConf,conf,TRUE
COLLADA,dae,FALSE
Starlark,,TRUE
Starlark,bazel,TRUE
Starlark,star,TRUE
Starlark,bzl,TRUE
Objective-C++,mm,TRUE
Scilab,sce,TRUE
Scilab,tst,FALSE
Scilab,sci,TRUE
Liquid,liquid,TRUE
PlantUML,puml,TRUE
PlantUML,plantuml,TRUE
PlantUML,iuml,TRUE
IDL,pro,TRUE
IDL,,TRUE
Wavefront Material,mtl,FALSE
Stata,do,TRUE
Stata,ado,TRUE
Stata,sthlp,FALSE
Stata,mata,TRUE
Stata,ihlp,FALSE
STL,stl,TRUE
fish,fish,TRUE
fish,,TRUE
fish,sh,TRUE
LLVM,ll,TRUE
LLVM,,TRUE
HLSL,hlsl,TRUE
HLSL,fx,TRUE
HLSL,cginc,TRUE
HLSL,hlsli,TRUE
HLSL,fxh,TRUE
xBase,prg,TRUE
xBase,prw,TRUE
xBase,ch,TRUE
xBase,,TRUE
Mustache,mustache,TRUE
Mustache,tpl,TRUE
Mustache,html,TRUE
ColdFusion,cfm,TRUE
Crystal,cr,TRUE
Nunjucks,njk,FALSE
Git Attributes,gitattributes,TRUE
AppleScript,scpt,TRUE
AppleScript,applescript,TRUE
AppleScript,,TRUE
1C Enterprise,bsl,TRUE
1C Enterprise,os,TRUE
Coq,v,TRUE
YASnippet,,TRUE
YASnippet,yasnippet,TRUE
YASnippet,snippet,TRUE
Ada,adb,TRUE
Ada,ads,TRUE
Ada,ada,TRUE
X PixMap,xpm,FALSE
X PixMap,pm,TRUE
Web Ontology Language,owl,TRUE
LilyPond,ly,TRUE
LilyPond,ily,TRUE
robots.txt,txt,TRUE
SaltStack,sls,TRUE
Ant Build System,xml,TRUE
Nim,nim,TRUE
Nim,nimble,TRUE
Nim,cfg,TRUE
Nim,nims,TRUE
ReScript,res,FALSE
UnrealScript,uc,TRUE
RDoc,rdoc,TRUE
RDoc,md,TRUE
ShaderLab,shader,TRUE
KiCad Schematic,sch,FALSE
KiCad Schematic,,TRUE
KiCad Schematic,bak,TRUE
OpenSCAD,scad,TRUE
HAProxy,cfg,TRUE
RobotFramework,robot,TRUE
Go Checksums,sum,FALSE
AGS Script,asc,FALSE
AGS Script,ash,FALSE
SAS,sas,TRUE
Pure Data,pd,TRUE
Yacc,y,TRUE
Yacc,yy,FALSE
Yacc,yacc,TRUE
AngelScript,as,FALSE
AngelScript,angelscript,TRUE
Gemfile.lock,lock,FALSE
Tcsh,csh,TRUE
Tcsh,,TRUE
Tcsh,sh,TRUE
Tcsh,tcsh,TRUE
Tcsh,script,TRUE
Tcsh,com,TRUE
Vim Snippet,snippets,TRUE
Vim Snippet,snippet,FALSE
Vim Snippet,snip,TRUE
HTTP,http,TRUE
Nginx,conf,TRUE
Nginx,nginx,TRUE
Nginx,vhost,TRUE
Textile,textile,TRUE
Cabal Config,cabal,TRUE
Cabal Config,project,FALSE
AutoHotkey,ahk,TRUE
GAP,g,FALSE
GAP,gd,FALSE
GAP,gi,TRUE
GAP,gap,TRUE
GAP,tst,TRUE
SMT,smt2,TRUE
SMT,smt,TRUE
HTML+EEX,eex,TRUE
HTML+EEX,leex,TRUE
HTML+EEX,heex,TRUE
BitBake,bb,TRUE
Cython,pyx,TRUE
Cython,pxd,TRUE
Cython,pxi,TRUE
PureScript,purs,TRUE
Lex,l,TRUE
Lex,lex,TRUE
Lex,x,TRUE
Max,maxpat,FALSE
Max,pat,TRUE
Max,maxhelp,TRUE
Max,mxt,TRUE
Max,maxproj,TRUE
Reason,re,TRUE
Reason,rei,TRUE
G-code,gcode,FALSE
G-code,g,TRUE
G-code,cnc,TRUE
G-code,gco,TRUE
VBScript,vbs,TRUE
NWScript,nss,TRUE
FreeBasic,bas,TRUE
FreeBasic,bi,TRUE
FreeBasic,txt,TRUE
ColdFusion CFC,cfc,TRUE
Xtend,xtend,TRUE
Modelica,mo,TRUE
Eagle,brd,TRUE
Eagle,sch,TRUE
Eagle,,TRUE
Papyrus,psc,TRUE
ABAP,abap,TRUE
nesC,nc,FALSE
SWIG,i,FALSE
JSONLD,jsonld,FALSE
SuperCollider,scd,TRUE
SuperCollider,sc,FALSE
Rebol,r,TRUE
Rebol,r2,TRUE
Rebol,reb,TRUE
Rebol,r3,TRUE
Agda,agda,TRUE
EditorConfig,editorconfig,TRUE
XQuery,xq,TRUE
XQuery,xqy,TRUE
XQuery,xql,TRUE
XQuery,xquery,TRUE
XQuery,xqm,TRUE
SourcePawn,sp,TRUE
SourcePawn,inc,TRUE
CSON,cson,TRUE
SELinux Policy,te,FALSE
SELinux Policy,,TRUE
Linux Kernel Module,mod,FALSE
Pawn,inc,TRUE
Pawn,pwn,TRUE
Pawn,sma,TRUE
AL,al,TRUE
Logos,x,TRUE
Logos,xm,TRUE
Logos,xi,TRUE
AspectJ,aj,FALSE
Awk,awk,TRUE
Awk,,TRUE
Awk,gawk,TRUE
Awk,sh,TRUE
Protocol Buffer Text Format,pbt,FALSE
Protocol Buffer Text Format,pbtxt,TRUE
Protocol Buffer Text Format,textproto,TRUE
AutoIt,au3,TRUE
Vim Help File,txt,TRUE
Vim Help File,phx,TRUE
Vim Help File,cnx,TRUE
Vim Help File,jax,TRUE
Vim Help File,twx,TRUE
OpenCL,cl,TRUE
OpenCL,opencl,TRUE
LiveScript,ls,FALSE
LiveScript,,TRUE
Windows Registry Entries,reg,FALSE
COBOL,cbl,TRUE
COBOL,cpy,TRUE
COBOL,cob,TRUE
COBOL,ccp,TRUE
COBOL,cobol,TRUE
M4Sugar,ac,TRUE
M4Sugar,m4,TRUE
M4Sugar,in,TRUE
Eiffel,e,TRUE
Linker Script,ld,TRUE
Linker Script,x,TRUE
Linker Script,lds,TRUE
BASIC,bas,TRUE
LookML,lkml,TRUE
LookML,lookml,TRUE
Latte,latte,TRUE
Cue Sheet,cue,FALSE
DirectX 3D File,x,FALSE
JetBrains MPS,mps,FALSE
JetBrains MPS,mpl,TRUE
JetBrains MPS,msd,TRUE
RAML,raml,TRUE
Volt,volt,TRUE
Volt,php,TRUE
Graph Modeling Language,gml,TRUE
Ren'Py,rpy,TRUE
SPARQL,rq,TRUE
SPARQL,sparql,TRUE
HiveQL,q,TRUE
HiveQL,hql,TRUE
AIDL,aidl,TRUE
Lean,lean,TRUE
Lean,hlean,TRUE
Common Workflow Language,cwl,FALSE
DM,dm,TRUE
World of Warcraft Addon Data,toc,FALSE
GN,gn,FALSE
GN,gni,TRUE
PostCSS,pcss,TRUE
PostCSS,postcss,TRUE
DTrace,d,FALSE
kvlang,kv,TRUE
Factor,factor,FALSE
ZenScript,zs,TRUE
MAXScript,ms,FALSE
MAXScript,mcr,TRUE
CODEOWNERS,,FALSE
Alpine Abuild,,TRUE
Gosu,gs,TRUE
Gosu,gsx,TRUE
Gosu,gst,TRUE
Portugol,por,TRUE
PowerBuilder,srw,TRUE
PowerBuilder,sru,TRUE
PowerBuilder,pbt,TRUE
PowerBuilder,sra,TRUE
ANTLR,g4,TRUE
Mako,mako,TRUE
Mako,mao,TRUE
POV-Ray SDL,inc,FALSE
POV-Ray SDL,pov,TRUE
X BitMap,xbm,FALSE
Glyph Bitmap Distribution Format,bdf,FALSE
ObjectScript,cls,TRUE
CWeb,w,TRUE
CWeb,h,TRUE
Dhall,dhall,TRUE
Dhall,,TRUE
Idris,idr,TRUE
Idris,lidr,TRUE
NewLisp,lisp,TRUE
NewLisp,nl,TRUE
NewLisp,lsp,TRUE
Meson,build,TRUE
Meson,txt,TRUE
Slash,sl,FALSE
Slash,,TRUE
Ballerina,bal,TRUE
Turing,t,TRUE
Turing,tu,TRUE
LabVIEW,lvclass,TRUE
LabVIEW,lvproj,TRUE
LabVIEW,lvlib,TRUE
Zig,zig,TRUE
sed,sed,TRUE
sed,,TRUE
M4,m4,TRUE
M4,mc,TRUE
Objective-J,j,TRUE
Objective-J,sj,TRUE
Objective-J,js,TRUE
Pod,pod,TRUE
Csound Document,csd,TRUE
CodeQL,ql,TRUE
CodeQL,qll,TRUE
F*,fst,TRUE
F*,fsti,TRUE
q,q,TRUE
q,txt,TRUE
4D,4dm,TRUE
GSC,gsc,TRUE
GSC,csc,TRUE
